"
"

Timestamp,Address,ZIP,FullName,FooDuration,BarDuration,TOTALDURATION
,4/1/11 11:00:00 AM,"123 4th St, Anywhere, AA",0094121,MONKEY ALBERTO,1:23:32.123,1:32:33.123
,3/12/14 12:00:00 AM,"Somewhere Else, In Another Time, BB",0000001,SUPERMAN ÜBERTAN,111:23:32.123,1:32:33.123
,2/29/16 12:11:11 PM,111 Ste. #123123123,1101,Résumé Ron,31:23:32.123,1:32:33.123
,1/1/11 12:00:01 AM,"This Is Not An Address, BusyTown, BT",0094121,MARY 1,1:23:32.123,0:00:00.000
,12/31/16 11:59:59 PM,"123 Gangnam Style Lives Here, Gangnam Town",31403,Anticipation0of0Unicode0Failure,1:23:32.123,1:32:33.123
,11/11/11 11:11:11 AM,überTown,10001,Prompt Negotiator,1:23:32.123,1:32:33.123
,5/12/10 4:48:12 PM,Høøük¡,1231,Sleeper Service,1:23:32.123,1:32:33.123
,10/5/12 10:31:11 PM,"Test Pattern Town, Test Pattern, TP",0000121,株式会社スタジオジブリ,1:23:32.123,1:32:33.123
"
"

Timestamp,Address,ZIP,FullName,FooDuration,BarDuration,TOTALDURATION
,4/1/11 11:00:00 AM,"123 4th St, Anywhere, AA",0094121,MONKEY ALBERTO,1:23:32.123,1:32:33.123
,3/12/14 12:00:00 AM,"Somewhere Else, In Another Time, BB",0000001,SUPERMAN ÜBERTAN,111:23:32.123,1:32:33.123
,2/29/16 12:11:11 PM,111 Ste. #123123123,1101,Résumé Ron,31:23:32.123,1:32:33.123
,1/1/11 12:00:01 AM,"This Is Not An Address, BusyTown, BT",0094121,MARY 1,1:23:32.123,0:00:00.000
,12/31/16 11:59:59 PM,"123 Gangnam Style Lives Here, Gangnam Town",31403,Anticipation0of0Unicode0Failure,1:23:32.123,1:32:33.123
,11/11/11 11:11:11 AM,überTown,10001,Prompt Negotiator,1:23:32.123,1:32:33.123
,5/12/10 4:48:12 PM,Høøük¡,1231,Sleeper Service,1:23:32.123,1:32:33.123
